品牌,型號,售價,車身長度,車身寬度,車重(kg),最大馬力(hp/rpm),最大扭力(kgm/rpm),馬達出力(hp/kgm),動力型式,驅動型式,排氣量,變速系統,官方0-100km/h加速(s)
Audi,A3 Sportback 30 TFSI 享馭版,139萬,4352,1816,1316,116hp@50006000rpm,25.5kgm@15003000rpm,,油電混合,前輪驅動,1498,自手排7速,9.9
Audi,A3 Sportback 35 TFSI Advanced 進化版,155萬,4352,1816,1365,150hp@50006000rpm,22.4kgm@15003000rpm,,油電混合,前輪驅動,1498,自手排7速,8.1
Audi,A3 Sportback 35 TFSI S line 運動版,179萬,4352,1816,1365,150hp@50006000rpm,22.4kgm@15003000rpm,,油電混合,前輪驅動,1498,自手排7速,8.1
Audi,RS3 Sportback,350.3萬,4389,1851,1645,400hp@56007000rpm,51.0kgm@22505600rpm,,汽油,四輪驅動,2480,自手排7速,3.8
Audi,A5 Sportback 40 TFSI 享馭版,250萬,4757,1843,1550,204hp@44756000rpm,32.6kgm@14504375rpm,,油電混合,前輪驅動,1984,自手排7速,7.2
Audi,A5 Sportback 40 TFSI S line 運動版,263萬,4757,1843,1550,204hp@44756000rpm,32.6kgm@14504375rpm,,油電混合,前輪驅動,1984,自手排7速,7.2
Audi,A5 Sportback 45 TFSI quattro S line 運動版,316萬,4757,1843,1660,265hp@52506500rpm,37.7kgm@16004500rpm,,油電混合,四輪驅動,1984,自手排7速,5.6
Audi,Q2 35 TFSI 享馭版,149萬,4208,1794,1325,150hp@50006000rpm,25.5kgm@15003500rpm,,汽油,前輪驅動,1498,自手排7速,8.6
Audi,Q2 35 TFSI Technik 豪華版,155萬,4208,1794,1325,150hp@50006000rpm,25.5kgm@15003500rpm,,汽油,前輪驅動,1498,自手排7速,8.6
BMW,3-Series Sedan 318i Sport,216萬,4713,1827,1490,156hp@4500rpm,25.5kgm@1300rpm,,汽油,後輪驅動,1998,手自排8速,8.4
BMW,3-Series Sedan 320i M Sport,246萬,4713,1827,1525,184hp@5000rpm,30.6kgm@1350rpm,,汽油,後輪驅動,1998,手自排8速,7.4
BMW,3-Series Sedan 330i M Sport,296萬,4713,1827,1540,245hp@4500rpm,40.8kgm@1600rpm,,汽油,後輪驅動,1998,手自排8速,5.9
BMW,3-Series Sedan M340i xDrive,366萬,4714,1827,1725,374hp@5500rpm,51.0kgm@1900rpm,11hp(48V),油電混合,四輪驅動,2998,手自排8速,4.4
BMW,5-Series Sedan 520i M Sport,299萬,5060,1900,1725,190hp@4400rpm,31.6kgm@1500rpm,11hp(48V),油電混合,後輪驅動,1998,手自排8速,8.1
BMW,5-Series Sedan 530i M Sport,343萬,5060,1900,1700,258hp@4700rpm,40.8kgm@1600rpm,11hp(48V),油電混合,後輪驅動,1998,手自排9速,6.2
Ford,Kuga 1.5 Vignale (2025小改款),93.9萬,4621,1882,1525,187hp@6000rpm,25.3kgm@3100rpm,,汽油,前輪驅動,1496,自排8速,9.0
Ford,Kuga 1.5 Active (2025小改款),101.9萬,4621,1882,1565,187hp@6000rpm,25.3kgm@3100rpm,,汽油,前輪驅動,1496,自排8速,9.3
Ford,Kuga 2.0 AWD ST-Line (2025小改款),113.9萬,4621,1882,1665,255hp@5500rpm,38.7kgm@3000rpm,,汽油,四輪驅動,1999,自排8速,6.7
Honda,HR-V S+,83.9萬,4330,1790,1274,121hp@6600rpm,14.8kgm@4300rpm,,汽油,前輪驅動,1498,CVT無段變速,
Honda,HR-V 1.5 e:HEV Prestige,87.9萬,4330,1790,1250,106hp@6000rpm,13.0kgm@4500rpm,131hp/25.8kgm,油電混合,前輪驅動,1498,CVT無段變速,10.5
Lexus,ES 200 豪華版,177萬,4975,1865,1625,173hp@6600rpm,21.0kgm@4400rpm,,汽油,前輪驅動,1987,CVT無段變速,10.3
Lexus,ES 200 頂級版,195萬,4975,1865,1625,173hp@6600rpm,21.0kgm@4400rpm,,汽油,前輪驅動,1987,CVT無段變速,10.3
Lexus,ES 250 F SPORT,218萬,4975,1865,1680,207hp@6600rpm,24.8kgm@4000~5000rpm,,汽油,前輪驅動,2487,手自排8速,9.1
Lexus,ES 300h 豪華版,203萬,4975,1865,1735,178hp@5700rpm,22.5kgm@3600~5200rpm,120hp/20.6kgm,油電混合,前輪驅動,2487,CVT無段變速,8.9
Lexus,ES 300h 旗艦版,249萬,4975,1865,1735,178hp@5700rpm,22.5kgm@3600~5200rpm,120hp/20.6kgm,油電混合,前輪驅動,2487,CVT無段變速,8.9
Mazda,Mazda3 Sedan 20S Carbon Edition,86.8萬,4660,1795,1373,165hp@6000rpm,21.7kgm@4000rpm,,汽油,前輪驅動,1998,手自排6速,8.5
Mazda,Mazda3 Sedan 20S Premium,94.8萬,4660,1795,1373,165hp@6000rpm,21.7kgm@4000rpm,,汽油,前輪驅動,1998,手自排6速,8.5
Mazda,CX-30 20S Carbon Edition,93.8萬,4395,1795,1424,165hp@6000rpm,21.7kgm@4000rpm,,汽油,前輪驅動,1998,手自排6速,9.0
Mazda,CX-30 20S Retro Sports Edition,109.8萬,4395,1795,1424,165hp@6000rpm,21.7kgm@4000rpm,,汽油,前輪驅動,1998,手自排6速,9.0
Mercedes-Benz,C-Class Sedan C180,224萬,4751,1820,1575,170hp@5500rpm,25.5kgm@1800rpm,20hp(48V),油電混合,後輪驅動,1496,手自排9速,8.6
